date,probe,cone_deg,dp_nPa,Dn,EB,qc_transition,boundary_note,cone_bin
2018-10-01,thd,86.8,2.68,0.111,14.2041,clean,plausible,perpendicular
2018-10-01,the,68.4,2.99,5.965,2.4223,mixed,plausible,perpendicular
2018-10-25,tha,53.1,2.5,0.1631,4.9238,clean,plausible,intermediate
2018-10-25,thd,74.7,1.51,1.7621,2.6011,mixed,uncertain,perpendicular
2018-10-27,thd,65.6,1.0,1.7953,2.8114,mixed,uncertain,perpendicular
2018-10-27,the,62.9,1.93,0.1343,9.9463,clean,uncertain,perpendicular
2018-10-29,thd,42.2,1.3,0.7946,1.4767,clean,uncertain,low-cone
2018-10-29,the,63.4,1.69,1.436,1.8809,mixed,uncertain,perpendicular
2018-10-30,thd,86.3,1.7,5.3477,4.5894,mixed,uncertain,perpendicular
2018-10-30,the,86.0,1.91,1.1866,1.4931,mixed,uncertain,perpendicular
2018-11-01,tha,55.8,3.95,0.0135,4.2432,clean,plausible,intermediate
2018-11-01,thd,55.6,3.18,1.6052,0.8296,unclear,plausible,intermediate
2018-11-02,thd,59.5,2.4,5.7824,3.2105,mixed,plausible,intermediate
2018-11-02,the,35.3,2.0,3.9437,3.804,mixed,plausible,low-cone
2018-11-03,thd,74.4,2.27,5.0258,4.6853,mixed,plausible,perpendicular
2018-11-03,the,83.0,2.59,1.008,2.0084,mixed,plausible,perpendicular
2018-11-06,thd,53.3,1.52,0.0597,3.0516,clean,uncertain,intermediate
2018-11-06,the,44.3,2.54,3.0328,3.4803,mixed,plausible,low-cone
2018-11-07,thd,59.6,2.46,0.0286,4.628,clean,plausible,intermediate
2018-11-07,the,37.0,2.22,0.0679,4.1846,clean,plausible,low-cone
2018-11-09,thd,87.2,1.96,0.1215,3.7388,clean,uncertain,perpendicular
2018-11-09,the,55.6,2.5,0.0935,5.9431,clean,plausible,intermediate
2019-10-24,thd,64.8,5.03,0.3387,12.3643,clean,plausible,perpendicular
2019-10-24,the,62.8,4.27,0.2288,3.7587,clean,plausible,perpendicular
2019-10-25,tha,66.1,3.79,0.303,3.6946,clean,plausible,perpendicular
2019-10-25,the,64.5,3.9,1.3188,1.6127,mixed,plausible,perpendicular
2019-10-26,tha,86.8,3.71,0.7494,6.7516,clean,plausible,perpendicular
2019-10-26,thd,89.8,3.05,1.1435,11.7786,mixed,plausible,perpendicular
2019-10-29,thd,69.1,1.62,0.5516,14.4784,clean,uncertain,perpendicular
2019-10-29,the,62.2,2.79,0.073,2.7197,clean,plausible,perpendicular
2019-10-30,tha,68.0,6.74,6.4022,4.6139,mixed,uncertain,perpendicular
2019-10-30,thd,70.0,1.82,0.0609,1.6173,clean,uncertain,perpendicular
2019-10-30,the,84.2,8.05,1.3266,15.417,mixed,uncertain,perpendicular
2019-10-31,thd,40.4,1.4,0.0534,0.8609,mixed,uncertain,low-cone
2019-10-31,the,80.2,8.68,0.1618,20.1779,clean,uncertain,perpendicular
2019-11-03,thd,78.3,1.89,2.443,2.7385,mixed,uncertain,perpendicular
2019-11-03,the,67.2,1.81,0.0244,5.3879,clean,uncertain,perpendicular
2019-11-04,tha,78.4,5.65,8.6214,3.6404,mixed,plausible,perpendicular
2019-11-04,thd,76.9,1.82,0.0409,3.6497,clean,uncertain,perpendicular
2019-11-04,the,76.9,1.82,0.0469,3.5729,clean,uncertain,perpendicular
2019-11-05,tha,87.2,1.6,0.8771,1.1984,clean,uncertain,perpendicular
2019-11-05,thd,78.8,1.83,1.1247,1.5208,mixed,uncertain,perpendicular
2019-11-05,the,77.4,1.83,0.0468,3.7904,clean,uncertain,perpendicular
2019-11-06,thd,23.9,1.31,1.7817,2.1975,mixed,uncertain,quasi-radial
2019-11-06,the,39.8,1.53,0.8557,2.7997,clean,uncertain,low-cone
2019-11-09,tha,85.1,2.09,0.9153,1.6446,clean,plausible,perpendicular
2019-11-09,thd,55.5,1.38,1.8505,1.5743,mixed,uncertain,intermediate
2019-11-09,the,72.6,1.35,1.1879,1.1296,mixed,uncertain,perpendicular
2019-11-10,tha,65.1,1.69,0.6071,3.2874,clean,uncertain,perpendicular
2019-11-10,the,66.0,1.33,1.1706,1.1577,mixed,uncertain,perpendicular
2019-11-11,thd,79.0,4.19,4.2487,4.7362,mixed,plausible,perpendicular
2019-11-11,the,75.6,2.52,1.2695,5.6717,mixed,plausible,perpendicular
2019-11-12,tha,81.0,2.01,0.6946,1.4565,clean,plausible,perpendicular
2019-11-12,the,77.7,1.71,0.2615,1.5381,clean,uncertain,perpendicular
2019-11-28,tha,54.1,2.13,1.0771,1.4162,mixed,plausible,intermediate
2019-11-28,thd,79.3,2.03,1.5592,1.3704,mixed,plausible,perpendicular
2019-11-30,tha,78.0,2.26,0.1746,14.5083,clean,plausible,perpendicular
2019-11-30,the,78.0,2.26,1.5623,1.3676,mixed,plausible,perpendicular
2019-12-03,thd,69.8,1.53,1.2773,1.4799,mixed,uncertain,perpendicular
2019-12-03,the,59.0,1.52,1.1021,0.9748,unclear,uncertain,intermediate
2019-12-18,thd,78.5,3.6,0.0523,4.6592,clean,plausible,perpendicular
2019-12-18,the,68.8,3.42,0.0403,2.496,clean,plausible,perpendicular
2020-12-06,tha,42.1,2.36,0.0362,2.5222,clean,plausible,low-cone
2020-12-06,thd,41.1,2.58,0.0482,2.8572,clean,plausible,low-cone
2020-12-09,tha,59.0,2.64,2.7324,3.7001,mixed,plausible,intermediate
2020-12-09,thd,54.4,2.29,0.0407,11.037,clean,plausible,intermediate
2020-12-09,the,60.8,2.56,0.0153,3.5883,clean,plausible,perpendicular
2020-12-10,tha,86.3,6.07,1.2764,1.75,mixed,uncertain,perpendicular
2020-12-10,thd,87.3,6.55,1.2457,2.058,mixed,uncertain,perpendicular
2020-12-10,the,87.1,6.32,0.0688,4.1051,clean,uncertain,perpendicular
2020-12-15,thd,30.3,1.83,0.7147,2.2129,clean,uncertain,low-cone
2020-12-15,the,30.3,1.83,0.0097,5.8824,clean,uncertain,low-cone
2020-12-16,tha,44.8,1.81,2.1497,1.7303,mixed,uncertain,low-cone
2020-12-16,thd,29.7,1.74,1.4508,1.0952,mixed,uncertain,quasi-radial
2020-12-16,the,36.1,1.74,1.8664,1.2585,mixed,uncertain,low-cone
2020-12-17,tha,72.5,1.9,1.031,2.1381,mixed,uncertain,perpendicular
2020-12-17,thd,72.0,1.76,1.036,1.929,mixed,uncertain,perpendicular
2020-12-17,the,71.5,1.84,0.394,3.7782,clean,uncertain,perpendicular
2020-12-18,thd,68.3,2.17,1.2057,0.991,unclear,plausible,perpendicular
2020-12-18,the,69.1,2.17,1.0866,1.0271,mixed,plausible,perpendicular
2020-12-20,tha,61.2,1.3,0.9142,0.844,mixed,uncertain,perpendicular
2020-12-20,thd,58.9,1.23,0.9461,0.828,mixed,uncertain,intermediate
2020-12-21,thd,63.7,1.78,1.7872,1.6174,mixed,uncertain,perpendicular
2020-12-21,the,64.7,1.91,1.1273,1.6743,mixed,uncertain,perpendicular
2021-01-04,tha,27.5,1.83,1.3091,1.0823,mixed,uncertain,quasi-radial
2021-01-04,thd,35.9,1.7,1.3925,0.9488,unclear,uncertain,low-cone
2021-01-06,tha,40.9,6.98,6.3197,5.7109,mixed,uncertain,low-cone
2021-01-06,thd,49.6,1.36,0.7982,1.8549,clean,uncertain,intermediate
2021-01-07,tha,51.8,1.52,0.8326,1.7278,clean,uncertain,intermediate
2021-01-07,thd,44.4,1.42,0.8244,1.9943,clean,uncertain,low-cone
2021-01-07,the,43.3,1.46,1.173,1.243,mixed,uncertain,low-cone
2021-01-12,tha,72.1,1.64,0.0295,3.2505,clean,uncertain,perpendicular
2021-01-12,thd,67.3,1.63,0.9818,1.8093,clean,uncertain,perpendicular
2021-01-12,the,69.1,1.65,0.9779,1.7348,clean,uncertain,perpendicular
2021-01-13,tha,28.3,1.99,0.0414,3.481,clean,uncertain,quasi-radial
2021-01-13,thd,26.9,1.96,0.0263,3.7019,clean,uncertain,quasi-radial
2021-01-13,the,28.3,1.99,1.0154,1.9878,mixed,uncertain,quasi-radial
2021-01-14,tha,30.2,2.04,0.0267,5.1407,clean,plausible,low-cone
2021-01-14,thd,28.3,1.99,0.0245,4.5441,clean,uncertain,quasi-radial
2021-01-14,the,28.3,1.99,1.0169,1.9711,mixed,uncertain,quasi-radial
2021-01-15,thd,75.0,1.84,0.0091,4.2015,clean,uncertain,perpendicular
2021-01-15,the,78.3,1.77,0.7128,2.6204,clean,uncertain,perpendicular
2021-01-16,tha,55.8,2.08,0.0107,5.2768,clean,plausible,intermediate
2021-01-16,thd,59.7,2.19,0.0157,4.719,clean,plausible,intermediate
2021-01-16,the,54.7,2.14,0.0368,3.4013,clean,plausible,intermediate
2021-01-17,thd,83.4,1.95,0.0193,7.9014,clean,uncertain,perpendicular
2021-01-17,the,85.0,1.94,0.0218,6.4802,clean,uncertain,perpendicular
2021-01-18,tha,61.6,2.55,0.0094,7.1429,clean,plausible,perpendicular
2021-01-18,thd,60.1,2.47,0.011,6.4426,clean,plausible,perpendicular
2021-01-19,tha,74.3,2.73,0.0289,6.739,clean,plausible,perpendicular
2021-01-19,thd,78.7,2.72,0.0186,3.7955,clean,plausible,perpendicular
2021-01-19,the,76.3,2.69,0.0172,3.4893,clean,plausible,perpendicular
2021-02-06,tha,65.1,5.5,0.0671,3.9623,clean,plausible,perpendicular
2021-02-06,thd,65.1,5.5,0.0411,3.6164,clean,plausible,perpendicular
2021-02-06,the,65.1,5.5,0.2083,3.1088,clean,plausible,perpendicular
2021-02-07,tha,76.3,5.51,0.0675,6.2822,clean,plausible,perpendicular
2021-02-07,thd,70.0,5.54,0.0799,3.1376,clean,plausible,perpendicular
2021-02-07,the,77.4,5.41,0.0517,3.8297,clean,plausible,perpendicular
2021-12-29,tha,80.1,8.4,0.5524,3.3269,clean,uncertain,perpendicular
