encounter_id,spacecraft,date,year,month,probe,sza_deg,mlt,cone_deg,clock_deg,dp_nPa,bz_nT,near_occ,bg_occ,Dn,EB,qc_transition_cleanliness,qc_disturbance,qc_boundary_motion,omni_context_quality_note,boundary_uncertainty_note,routeC_core_usable,exclude_reason,cone_bin
exp_20100925_thd,themis,2010-09-25,2010,9,thd,0.7,12.0,88.2,284.8,0.83,0.24,0.7577,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100922_the,themis,2010-09-22,2010,9,the,1.3,12.0,62.9,9.0,0.5,2.79,0.7486,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100923_tha,themis,2010-09-23,2010,9,tha,3.6,12.0,86.4,320.9,3.21,8.14,0.5735,0.0,,,not_assessed,uncertain,stable,good,plausible,False,bg_occ=0.000<1%,perpendicular
exp_20100926_the,themis,2010-09-26,2010,9,the,0.4,12.0,75.1,346.6,1.46,3.06,0.7985,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100927_thd,themis,2010-09-27,2010,9,thd,1.3,12.0,42.9,333.4,1.28,0.79,0.8381,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20100927_tha,themis,2010-09-27,2010,9,tha,1.6,12.0,42.1,293.1,1.37,0.2,0.7876,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,low-cone
exp_20100922_tha,themis,2010-09-22,2010,9,tha,4.1,12.0,63.2,9.2,0.49,2.77,0.7781,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100928_tha,themis,2010-09-28,2010,9,tha,1.1,12.0,74.9,276.9,1.34,0.46,0.7836,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100926_tha,themis,2010-09-26,2010,9,tha,2.1,12.0,75.2,345.7,1.46,3.07,0.7764,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100928_the,themis,2010-09-28,2010,9,the,1.3,12.0,74.6,276.6,1.34,0.44,0.8047,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
exp_20100929_tha,themis,2010-09-29,2010,9,tha,0.6,12.0,59.6,261.1,0.74,-0.48,0.9155,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100929_thd,themis,2010-09-29,2010,9,thd,2.1,12.0,58.6,258.6,0.74,-0.62,0.8361,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100929_the,themis,2010-09-29,2010,9,the,1.7,12.0,59.6,261.1,0.74,-0.48,0.8865,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,intermediate
exp_20100930_tha,themis,2010-09-30,2010,9,tha,0.1,12.0,69.8,323.4,0.74,2.24,0.9178,0.0,,,not_assessed,uncertain,uncertain,good,uncertain,False,bg_occ=0.000<1%,perpendicular
